id,name,ciqual_const_code,ciqual_const_name_eng,ciqual_const_name_fr,ciqual_unit,calnut_const_code,calnut_const_name,calnut_unit,off_id,count,template,nnr2023_id,nutrient_type,disabled,comments
fa_20_6_dha,"FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA",42263,"FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)",g,42263,ag_20_6_dha,g,,,,,micro,TRUE,
cholesterol,Cholesterol,75100,Cholesterol (mg/100g),Cholestérol (mg/100 g),mg,75100,cholesterol,mg,cholesterol,352022,TRUE,,macro,,
salt,Salt,10004,Salt (g/100g),Sel chlorure de sodium (g/100 g),g,10004,sel,g,salt,2335221,TRUE,,macro,,
calcium,Calcium,10200,Calcium (mg/100g),Calcium (mg/100 g),mg,10200,calcium,mg,calcium,349144,TRUE,Calcium,micro,,
chloride,Chloride,10170,Chloride (mg/100g),Chlorure (mg/100 g),mg,,,,chloride,1228,,Choline,micro,TRUE,
copper,Copper,10290,Copper (mg/100g),Cuivre (mg/100 g),mg,10290,cuivre,mg,copper,6171,TRUE,Copper,micro,,
iron,Iron,10260,Iron (mg/100g),Fer (mg/100 g),mg,10260,fer,mg,iron,332501,TRUE,Iron,micro,,
iodine,Iodine,10530,Iodine (µg/100g),Iode (µg/100 g),µg,10530,iode,mcg,iodine,3498,TRUE,Iodine,micro,,
magnesium,Magnesium,10120,Magnesium (mg/100g),Magnésium (mg/100 g),mg,10120,magnesium,mg,magnesium,21983,TRUE,Magnesium,micro,,
manganese,Manganese,10251,Manganese (mg/100g),Manganèse (mg/100 g),mg,10251,manganese,mg,manganese,6176,TRUE,Manganese,micro,,
phosphorus,Phosphorus,10150,Phosphorus (mg/100g),Phosphore (mg/100 g),mg,10150,phosphore,mg,phosphorus,18266,TRUE,Phosphorus,micro,,TODO: fix units
potassium,Potassium,10190,Potassium (mg/100g),Potassium (mg/100 g),mg,10190,potassium,mg,potassium,164412,TRUE,Potassium,micro,,
selenium,Selenium,10340,Selenium (µg/100g),Sélénium (µg/100 g),µg,10340,selenium,mcg,selenium,4421,TRUE,Selenium,micro,,
sodium,Sodium,10110,Sodium (mg/100g),Sodium (mg/100 g),mg,10110,sodium,mg,sodium,2335220,TRUE,Sodium,micro,TRUE,"TODO: fix units, breaks the optimization"
zinc,Zinc,10300,Zinc (mg/100g),Zinc (mg/100 g),mg,10300,zinc,mg,zinc,15242,TRUE,Zinc,micro,,
retinol,Retinol,51200,Retinol (µg/100g),Rétinol (µg/100 g),µg,51200,retinol,mcg,retinol,2,,,micro,TRUE,Questionable match with NNR2023 (Vitamin A != Retinol)
beta_carotene,Beta-carotene,51330,Beta-carotene (µg/100g),Beta-Carotène (µg/100 g),µg,51330,beta_carotene,mcg,beta-carotene,84,,,micro,TRUE,
vitamin_d,Vitamin D,52100,Vitamin D (µg/100g),Vitamine D (µg/100 g),µg,52100,vitamine_d,mcg,vitamin-d,58124,TRUE,Vitamin D,micro,,
vitamin_e,Vitamin E,53100,Vitamin E (mg/100g),Vitamine E (mg/100 g),mg,53100,vitamine_e,mg,vitamin-e,9732,TRUE,Vitamin E,micro,,
vitamin_k1,Vitamin K1,54101,Vitamin K1 (µg/100g),Vitamine K1 (µg/100 g),µg,54101,vitamine_k1,mcg,,,,,micro,TRUE,How to sum to get similar to Vitamin K
vitamin_k2,Vitamin K2,54104,Vitamin K2 (µg/100g),Vitamine K2 (µg/100 g),µg,54104,vitamine_k2,mcg,,,,,micro,TRUE,
vitamin_c,Vitamin C,55100,Vitamin C (mg/100g),Vitamine C (mg/100 g),mg,55100,vitamine_c,mg,vitamin-c,226229,TRUE,Vitamin C,micro,,
vitamin_b1,Vitamin B1,56100,Vitamin B1 or Thiamin (mg/100g),Vitamine B1 ou Thiamine (mg/100 g),mg,56100,vitamine_b1,mg,vitamin-b1,31359,TRUE,Thiamin,micro,TRUE,"TODO: fix units, breaks the optimization"
vitamin_b2,Vitamin B2,56200,Vitamin B2 or Riboflavin (mg/100g),Vitamine B2 ou Riboflavine (mg/100 g),mg,56200,vitamine_b2,mg,vitamin-b2,31293,TRUE,Riboflavin,micro,,TODO: fix units
vitamin_pp,Vitamin B3,56310,Vitamin B3 or Niacin (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100 g),mg,56310,vitamine_b3,mg,vitamin-pp,26810,TRUE,Niacin,micro,,A component of B3? TODO: fix units
pantothenic_acid,Vitamin B5,56400,Vitamin B5 or Pantothenic acid (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100 g),mg,56400,vitamine_b5,mg,pantothenic-acid,10238,TRUE,Pantothenic acid,micro,,
vitamin_b6,Vitamin B6,56500,Vitamin B6 (mg/100g),Vitamine B6 (mg/100 g),mg,56500,vitamine_b6,mg,vitamin-b6,23337,TRUE,Vitamin B6,micro,,
vitamin_b9,Vitamin B9,56700,Vitamin B9 or Folate (µg/100g),Vitamine B9 ou Folates totaux (µg/100 g),µg,56700,vitamine_b9,mcg,vitamin-b9,15335,TRUE,Folate,micro,,TODO: fix units
folates,Folates,,,,,,,,folates,8872,TRUE,,micro,TRUE,
vitamin_b12,Vitamin B12,56600,Vitamin B12 (µg/100g),Vitamine B12 (µg/100 g),µg,56600,vitamine_b12,mcg,vitamin-b12,21218,TRUE,Vitamin B12,micro,,
vitamin_a,Vitamin A,,,,,,,,vitamin-a,221673,TRUE,Vitamin A,micro,TRUE,Need a formula to combine retinol and beta-carotene (and vitamin A)
trans_fat,Trans fat,,,,,,,,trans-fat,337969,TRUE,,macro,TRUE,Unclear which CIQUAL FA should be used or if it is a sum of a number
cocoa,Cocoa,,,,,,,,cocoa,8119,TRUE,,macro,TRUE,?
